"cluster","accuracy","method"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",0,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",0.166666666666667,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0,"plr"
"CL025",1,"plr"
"CL026",0.5,"plr"
"CL031",0.5,"plr"
"CL034",0,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",1,"plr"
"CL069",0.5,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",0,"mlr"
"CL009",0,"mlr"
"CL010",0.5,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0.5,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",0,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",1,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",1,"mlr"
"CL079",1,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",1,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0.111111111111111,"plr"
"CL004",0,"plr"
"CL007",0.5,"plr"
"CL008",0,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0.5,"plr"
"CL012",0,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",0.166666666666667,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0.166666666666667,"plr"
"CL024",1,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",0.5,"plr"
"CL034",1,"plr"
"CL037",0,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.285714285714286,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",0,"plr"
"CL001",0.5,"mlr"
"CL002",0,"mlr"
"CL003",0.5,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",0,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",1,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",1,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",1,"mlr"
"CL079",0,"mlr"
"CL083",0,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",1,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",0,"plr"
"CL007",0,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",1,"plr"
"CL016",0,"plr"
"CL017",0.166666666666667,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",1,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",0.5,"plr"
"CL034",1,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",1,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",0.142857142857143,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",0,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0.0185185185185185,"mlr"
"CL022",0,"mlr"
"CL023",1,"mlr"
"CL024",1,"mlr"
"CL025",1,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",1,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",0,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0.166666666666667,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",1,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0.166666666666667,"mlr"
"CL079",0,"mlr"
"CL083",0,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.166666666666667,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0.25,"plr"
"CL003",0,"plr"
"CL004",1,"plr"
"CL007",0.5,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",1,"plr"
"CL025",0,"plr"
"CL026",0.5,"plr"
"CL031",0.5,"plr"
"CL034",0,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",1,"plr"
"CL070",0.166666666666667,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",1,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",0.0185185185185185,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",1,"mlr"
"CL026",0.5,"mlr"
"CL031",0,"mlr"
"CL034",0,"mlr"
"CL037",1,"mlr"
"CL039",0.0185185185185185,"mlr"
"CL045",1,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0.0185185185185185,"mlr"
"CL068",0,"mlr"
"CL069",0.5,"mlr"
"CL070",0.0185185185185185,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",1,"mlr"
"CL079",0,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",1,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0.5,"plr"
"CL004",0,"plr"
"CL007",1,"plr"
"CL008",1,"plr"
"CL009",0,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",0.166666666666667,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0.166666666666667,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",0.166666666666667,"plr"
"CL034",1,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",1,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",1,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0.5,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",1,"mlr"
"CL011",0.5,"mlr"
"CL012",0,"mlr"
"CL015",1,"mlr"
"CL016",0.5,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0.0185185185185185,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",0.0185185185185185,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0.166666666666667,"mlr"
"CL070",0,"mlr"
"CL072",0,"mlr"
"CL074",1,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",0,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.0185185185185185,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",0,"plr"
"CL007",0.5,"plr"
"CL008",0,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0.5,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",0.166666666666667,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0.166666666666667,"plr"
"CL025",0,"plr"
"CL026",0.5,"plr"
"CL031",0.5,"plr"
"CL034",1,"plr"
"CL037",0,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.333333333333333,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",0,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",0,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",0,"mlr"
"CL009",0,"mlr"
"CL010",0.5,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0.5,"mlr"
"CL017",1,"mlr"
"CL019",0,"mlr"
"CL020",1,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",1,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",1,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",1,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0.166666666666667,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",0.166666666666667,"mlr"
"CL083",0,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",1,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",1,"plr"
"CL007",0.5,"plr"
"CL008",0.166666666666667,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0,"plr"
"CL017",1,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",1,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",1,"plr"
"CL034",0,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",0.166666666666667,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.5,"plr"
"CL070",0,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",0.166666666666667,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",0.166666666666667,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",0.166666666666667,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",1,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0.0185185185185185,"mlr"
"CL045",0.166666666666667,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",1,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",1,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.0185185185185185,"mlr"
"CL110",1,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",0,"plr"
"CL007",1,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0,"plr"
"CL017",1,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0.166666666666667,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",0.5,"plr"
"CL034",0,"plr"
"CL037",0,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.5,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0.5,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",0.166666666666667,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",1,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",0,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0,"mlr"
"CL072",0.142857142857143,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",0.0185185185185185,"mlr"
"CL083",0.166666666666667,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.0185185185185185,"mlr"
"CL110",0,"mlr"
"CL001",0.5,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",1,"plr"
"CL007",1,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",1,"plr"
"CL024",1,"plr"
"CL025",1,"plr"
"CL026",0,"plr"
"CL031",1,"plr"
"CL034",0,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",1,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",1,"plr"
"CL077",0,"plr"
"CL078",0,"plr"
"CL079",0,"plr"
"CL083",0,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",0,"plr"
"CL001",0.5,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",0,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",1,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",1,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",1,"mlr"
"CL037",0.166666666666667,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",1,"mlr"
"CL068",0,"mlr"
"CL069",0.5,"mlr"
"CL070",1,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",1,"mlr"
"CL083",0,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.0185185185185185,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",0,"plr"
"CL007",1,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",0.5,"plr"
"CL011",0.142857142857143,"plr"
"CL012",0.166666666666667,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",1,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",1,"plr"
"CL023",0,"plr"
"CL024",0,"plr"
"CL025",0.166666666666667,"plr"
"CL026",0,"plr"
"CL031",0.5,"plr"
"CL034",0,"plr"
"CL037",0,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",0,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.166666666666667,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",0,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0.166666666666667,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",0,"mlr"
"CL009",0.0185185185185185,"mlr"
"CL010",0.333333333333333,"mlr"
"CL011",0,"mlr"
"CL012",0.166666666666667,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",0.166666666666667,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0.0185185185185185,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0.142857142857143,"mlr"
"CL045",1,"mlr"
"CL055",1,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0.5,"mlr"
"CL070",0.0185185185185185,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",0.0185185185185185,"mlr"
"CL083",0.166666666666667,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.166666666666667,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",0.142857142857143,"plr"
"CL007",0.5,"plr"
"CL008",0.166666666666667,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",0,"plr"
"CL019",0.142857142857143,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0,"plr"
"CL025",0,"plr"
"CL026",0,"plr"
"CL031",1,"plr"
"CL034",0,"plr"
"CL037",1,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",1,"plr"
"CL077",0,"plr"
"CL078",0.166666666666667,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",1,"mlr"
"CL007",0.5,"mlr"
"CL008",1,"mlr"
"CL009",1,"mlr"
"CL010",1,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",0,"mlr"
"CL025",0,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",0,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",0,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0.0185185185185185,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0.0185185185185185,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",1,"mlr"
"CL079",0,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.0185185185185185,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0.5,"plr"
"CL004",0,"plr"
"CL007",0.5,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0.5,"plr"
"CL017",1,"plr"
"CL019",0.166666666666667,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0.142857142857143,"plr"
"CL025",0,"plr"
"CL026",0.5,"plr"
"CL031",0.166666666666667,"plr"
"CL034",1,"plr"
"CL037",0.142857142857143,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0,"plr"
"CL070",1,"plr"
"CL072",0,"plr"
"CL074",1,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",1,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0.5,"mlr"
"CL004",0,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",1,"mlr"
"CL010",0.5,"mlr"
"CL011",0,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",1,"mlr"
"CL017",1,"mlr"
"CL019",0,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
"CL022",0,"mlr"
"CL023",0,"mlr"
"CL024",1,"mlr"
"CL025",1,"mlr"
"CL026",0,"mlr"
"CL031",0.5,"mlr"
"CL034",0.166666666666667,"mlr"
"CL037",0,"mlr"
"CL039",0,"mlr"
"CL045",1,"mlr"
"CL055",0,"mlr"
"CL062",0.0185185185185185,"mlr"
"CL063",0,"mlr"
"CL068",0,"mlr"
"CL069",0,"mlr"
"CL070",0,"mlr"
"CL072",0,"mlr"
"CL074",0,"mlr"
"CL077",0,"mlr"
"CL078",0,"mlr"
"CL079",0,"mlr"
"CL083",1,"mlr"
"CL089",0,"mlr"
"CL091",0,"mlr"
"CL092",0.166666666666667,"mlr"
"CL110",0,"mlr"
"CL001",0,"plr"
"CL002",0,"plr"
"CL003",0,"plr"
"CL004",1,"plr"
"CL007",1,"plr"
"CL008",1,"plr"
"CL009",1,"plr"
"CL010",1,"plr"
"CL011",0,"plr"
"CL012",1,"plr"
"CL015",0,"plr"
"CL016",0,"plr"
"CL017",1,"plr"
"CL019",0.166666666666667,"plr"
"CL020",0,"plr"
"CL021",0,"plr"
"CL022",0,"plr"
"CL023",0,"plr"
"CL024",0.166666666666667,"plr"
"CL025",0,"plr"
"CL026",0.166666666666667,"plr"
"CL031",0.5,"plr"
"CL034",1,"plr"
"CL037",0,"plr"
"CL039",0,"plr"
"CL045",1,"plr"
"CL055",1,"plr"
"CL062",1,"plr"
"CL063",0,"plr"
"CL068",0,"plr"
"CL069",0.5,"plr"
"CL070",0.166666666666667,"plr"
"CL072",0,"plr"
"CL074",1,"plr"
"CL077",0,"plr"
"CL078",1,"plr"
"CL079",0,"plr"
"CL083",0,"plr"
"CL089",0,"plr"
"CL091",0,"plr"
"CL092",1,"plr"
"CL110",1,"plr"
"CL001",0,"mlr"
"CL002",0,"mlr"
"CL003",0,"mlr"
"CL004",1,"mlr"
"CL007",0,"mlr"
"CL008",1,"mlr"
"CL009",1,"mlr"
"CL010",0.5,"mlr"
"CL011",1,"mlr"
"CL012",1,"mlr"
"CL015",0,"mlr"
"CL016",0,"mlr"
"CL017",1,"mlr"
"CL019",1,"mlr"
"CL020",0,"mlr"
"CL021",0,"mlr"
